segment_id,size,crop,language,channel,product,llm_prompt,cta_type
SEG_0021,72,chickpea,Punjabi,whatsapp_rich,Actara 25 WG,"You are an agricultural expert writing a WhatsApp message for a chickpea farmer in Punjab. Write in Punjabi. The message must be under 1024 characters. Alert the farmer about pod borer (Helicoverpa armigera) risk. Recommend Actara 25 WG by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0022,48,mustard,Punjabi,whatsapp_rich,Score 250 EC,"You are an agricultural expert writing a WhatsApp message for a mustard farmer in Punjab. Write in Punjabi. The message must be under 1024 characters. Alert the farmer about white rust (Albugo candida) and Alternaria blight risk. Recommend Score 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0023,54,wheat,Marathi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Maharashtra. Write in Marathi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0024,86,wheat,Marathi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Maharashtra. Write in Marathi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0025,49,wheat,Punjabi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Punjab. Write in Punjabi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0026,50,wheat,Punjabi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Punjab. Write in Punjabi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0027,93,wheat,Punjabi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Punjab. Write in Punjabi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0028,60,mustard,Hindi,whatsapp_rich,Score 250 EC,"You are an agricultural expert writing a WhatsApp message for a mustard farmer in Rajasthan. Write in Hindi. The message must be under 1024 characters. Alert the farmer about white rust (Albugo candida) and Alternaria blight risk. Recommend Score 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0029,76,lentil,Hindi,whatsapp_rich,Amistar 250 SC,"You are an agricultural expert writing a WhatsApp message for a lentil farmer in Madhya Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about rust and wilt complex risk. Recommend Amistar 250 SC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0030,60,mustard,Hindi,whatsapp_rich,Score 250 EC,"You are an agricultural expert writing a WhatsApp message for a mustard farmer in Madhya Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about white rust (Albugo candida) and Alternaria blight risk. Recommend Score 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0031,88,chickpea,Hindi,whatsapp_rich,Actara 25 WG,"You are an agricultural expert writing a WhatsApp message for a chickpea farmer in Rajasthan. Write in Hindi. The message must be under 1024 characters. Alert the farmer about pod borer (Helicoverpa armigera) risk. Recommend Actara 25 WG by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0032,60,chickpea,Hindi,whatsapp_rich,Actara 25 WG,"You are an agricultural expert writing a WhatsApp message for a chickpea farmer in Madhya Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about pod borer (Helicoverpa armigera) risk. Recommend Actara 25 WG by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0033,66,chickpea,Hindi,whatsapp_rich,Actara 25 WG,"You are an agricultural expert writing a WhatsApp message for a chickpea farmer in Uttar Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about pod borer (Helicoverpa armigera) risk. Recommend Actara 25 WG by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0034,61,barley,Hindi,whatsapp_rich,Tilt 250 EC,"You are an agricultural expert writing a WhatsApp message for a barley farmer in Rajasthan. Write in Hindi. The message must be under 1024 characters. Alert the farmer about powdery mildew (Blumeria graminis) risk. Recommend Tilt 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0035,66,chickpea,Hindi,whatsapp_rich,Actara 25 WG,"You are an agricultural expert writing a WhatsApp message for a chickpea farmer in Haryana. Write in Hindi. The message must be under 1024 characters. Alert the farmer about pod borer (Helicoverpa armigera) risk. Recommend Actara 25 WG by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0036,55,mustard,Hindi,whatsapp_rich,Score 250 EC,"You are an agricultural expert writing a WhatsApp message for a mustard farmer in Haryana. Write in Hindi. The message must be under 1024 characters. Alert the farmer about white rust (Albugo candida) and Alternaria blight risk. Recommend Score 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0037,65,mustard,Hindi,whatsapp_rich,Score 250 EC,"You are an agricultural expert writing a WhatsApp message for a mustard farmer in Uttar Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about white rust (Albugo candida) and Alternaria blight risk. Recommend Score 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0038,57,barley,Hindi,whatsapp_rich,Tilt 250 EC,"You are an agricultural expert writing a WhatsApp message for a barley farmer in Haryana. Write in Hindi. The message must be under 1024 characters. Alert the farmer about powdery mildew (Blumeria graminis) risk. Recommend Tilt 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0039,73,barley,Hindi,whatsapp_rich,Tilt 250 EC,"You are an agricultural expert writing a WhatsApp message for a barley farmer in Uttar Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about powdery mildew (Blumeria graminis) risk. Recommend Tilt 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0040,69,potato,Hindi,whatsapp_rich,Kavach 75 WP,"You are an agricultural expert writing a WhatsApp message for a potato farmer in Uttar Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about late blight (Phytophthora infestans) risk. Recommend Kavach 75 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0041,78,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Rajasthan. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0042,145,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Bihar. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0043,78,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Haryana. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0044,91,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Uttar Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0045,75,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Madhya Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0046,119,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Madhya Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0047,59,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Haryana. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0048,139,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Haryana. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0049,94,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Uttar Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0050,116,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Uttar Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0051,73,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Rajasthan. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0052,92,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Rajasthan. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
